round_a,date_a,round_b,date_b,common_count,common_numbers,nums_a,bonus_a,nums_b,bonus_b
52,2003-11-29,1200,2025-11-29,5,1 2 4 16 20,2 4 15 16 20 29,1,1 2 4 16 20 32,45
59,2004-01-17,471,2011-12-10,5,6 13 29 39 41,6 29 36 39 41 45,13,6 13 29 37 39 41,43
59,2004-01-17,496,2012-06-02,5,13 29 36 39 41,6 29 36 39 41 45,13,4 13 20 29 36 41,39
62,2004-02-07,1151,2024-12-21,5,3 8 15 27 29,3 8 15 27 29 35,21,2 3 9 15 27 29,8
64,2004-02-21,193,2006-08-12,5,14 18 26 36 39,14 15 18 21 26 36,39,6 14 18 26 36 39,13
64,2004-02-21,246,2007-08-18,5,15 18 21 26 39,14 15 18 21 26 36,39,13 18 21 23 26 39,15
64,2004-02-21,640,2015-03-07,5,14 15 18 21 26,14 15 18 21 26 36,39,14 15 18 21 26 35,23
65,2004-02-28,326,2009-02-28,5,25 33 36 39 40,4 25 33 36 40 43,39,16 23 25 33 36 39,40
67,2004-03-13,1060,2023-03-25,5,3 10 33 36 38,3 7 10 15 36 38,33,3 10 24 33 38 45,36
67,2004-03-13,1076,2023-07-15,5,3 7 10 33 36,3 7 10 15 36 38,33,3 7 9 33 36 37,10
68,2004-03-20,300,2008-08-30,5,10 12 26 38 39,10 12 15 16 26 39,38,7 9 10 12 26 38,39
70,2004-04-03,603,2014-06-21,5,19 25 26 28 43,5 19 22 25 28 43,26,2 19 25 26 27 43,28
72,2004-04-17,380,2010-03-13,5,1 2 17 26 27,2 4 11 17 26 27,1,1 2 8 17 26 37,27
74,2004-05-01,809,2018-06-02,5,6 15 17 23 40,6 15 17 18 35 40,23,6 11 15 17 23 40,39
76,2004-05-15,206,2006-11-11,5,1 3 15 25 43,1 3 15 22 25 37,43,1 2 3 15 20 25,43
81,2004-06-19,200,2006-09-30,5,5 6 7 13 20,5 7 11 13 20 33,6,5 6 13 14 17 20,7
81,2004-06-19,982,2021-09-25,5,5 7 13 20 33,5 7 11 13 20 33,6,5 7 13 20 21 44,33
85,2004-07-17,450,2011-07-16,5,6 13 21 23 31,6 8 13 23 31 36,21,6 14 19 21 23 31,13
86,2004-07-24,285,2008-05-17,5,2 33 37 41 45,2 12 37 39 41 45,33,13 33 37 40 41 45,2
87,2004-07-31,1096,2023-12-02,5,12 16 23 34 43,4 12 16 23 34 43,26,1 12 16 19 23 43,34
88,2004-08-07,254,2007-10-13,5,1 20 24 27 30,1 17 20 24 30 41,27,1 5 19 20 24 30,27
89,2004-08-14,383,2010-04-03,5,4 28 33 37 40,4 26 28 29 33 40,37,4 15 28 33 37 40,25
90,2004-08-21,549,2013-06-08,5,17 29 35 38 44,17 20 29 35 38 44,10,29 31 35 38 40 44,17
91,2004-08-28,570,2013-11-02,5,1 26 27 29 42,1 21 24 26 29 42,27,1 12 26 27 29 33,42
94,2004-09-18,542,2013-04-20,5,5 6 34 41 45,5 32 34 40 41 45,6,5 6 19 26 41 45,34
100,2004-10-30,628,2014-12-13,5,1 7 11 23 42,1 7 11 23 37 42,6,1 7 12 15 23 42,11
101,2004-11-06,388,2010-05-08,5,1 8 17 32 45,1 3 17 32 35 45,8,1 8 9 17 29 32,45
105,2004-12-04,1181,2025-07-19,5,8 10 20 28 41,8 10 20 34 41 45,28,8 10 14 20 33 41,28
106,2004-12-11,598,2014-05-17,5,4 12 22 24 33,4 10 12 22 24 33,29,4 12 24 33 38 45,22
106,2004-12-11,952,2021-02-27,5,4 12 22 24 33,4 10 12 22 24 33,29,4 12 22 24 33 41,38
108,2004-12-25,456,2011-08-27,5,7 12 18 23 44,7 18 22 23 29 44,12,1 7 12 18 23 27,44
110,2005-01-08,126,2005-04-30,5,1 7 20 22 43,7 20 22 23 29 43,1,7 20 22 27 40 43,1
113,2005-01-29,1137,2024-09-14,5,4 9 26 33 45,4 9 28 33 36 45,26,4 9 12 15 33 45,26
114,2005-02-05,836,2018-12-08,5,11 14 19 26 28,11 14 19 26 28 41,2,1 9 11 14 26 28,19
117,2005-02-26,440,2011-05-07,5,10 22 34 36 44,5 10 22 34 36 44,35,10 22 28 34 36 44,2
120,2005-03-19,706,2016-06-11,5,4 6 10 30 37,4 6 10 11 32 37,30,3 4 6 10 28 30,37
122,2005-04-02,216,2007-01-20,5,1 16 17 36 40,1 11 16 17 36 40,8,7 16 17 33 36 40,1
122,2005-04-02,1006,2022-03-12,5,8 11 16 17 36,1 11 16 17 36 40,8,8 11 15 16 17 37,36
124,2005-04-16,171,2006-03-11,5,1 4 16 25 29,4 16 23 25 29 42,1,4 16 25 29 34 35,1
124,2005-04-16,1166,2025-04-05,5,16 23 25 29 42,4 16 23 25 29 42,1,14 23 25 27 29 42,16
126,2005-04-30,714,2016-08-06,5,1 7 20 22 40,7 20 22 27 40 43,1,1 7 22 33 37 40,20
130,2005-05-28,659,2015-07-18,5,7 19 27 42 45,7 19 24 27 42 45,31,7 18 19 27 29 42,45
133,2005-06-18,246,2007-08-18,5,13 15 18 23 26,4 7 15 18 23 26,13,13 18 21 23 26 39,15
135,2005-07-02,174,2006-04-01,5,14 16 22 35 39,6 14 22 28 35 39,16,13 14 18 22 35 39,16
148,2005-10-01,324,2009-02-14,5,17 21 25 33 36,21 25 33 34 35 36,17,2 4 21 25 33 36,17
149,2005-10-08,400,2010-07-31,5,2 21 27 34 41,2 11 21 34 41 42,27,9 21 27 34 41 43,2
156,2005-11-26,814,2018-07-07,5,2 28 30 42 45,5 18 28 30 42 45,2,2 21 28 38 42 45,30
160,2005-12-24,267,2008-01-12,5,1 7 8 34 41,3 7 8 34 39 41,1,7 8 24 34 36 41,1
160,2005-12-24,341,2009-06-13,5,1 8 34 39 41,3 7 8 34 39 41,1,1 8 19 34 39 43,41
163,2006-01-14,651,2015-05-23,5,11 16 26 29 44,7 11 26 28 29 44,16,11 12 16 26 29 44,18
169,2006-02-25,691,2016-02-27,5,16 27 35 43 45,16 27 35 37 43 45,19,15 27 33 35 43 45,16
172,2006-03-18,455,2011-08-20,5,4 19 24 26 35,4 19 21 24 26 41,35,4 19 20 26 30 35,24
172,2006-03-18,1123,2024-06-08,5,19 21 24 26 35,4 19 21 24 26 41,35,13 19 21 24 34 35,26
174,2006-04-01,900,2020-02-29,5,13 14 16 18 35,13 14 18 22 35 39,16,7 13 16 18 35 38,14
192,2006-08-05,1079,2023-08-05,5,4 8 18 37 45,4 8 11 18 37 45,33,4 8 18 24 37 45,6
195,2006-08-26,386,2010-04-24,5,7 10 19 31 40,7 10 19 22 35 40,31,4 7 10 19 31 40,26
211,2006-12-16,397,2010-07-10,5,8 12 13 17 33,12 13 17 20 33 41,8,12 13 17 22 25 33,8
214,2007-01-06,1157,2025-02-01,5,5 7 20 25 28,5 7 20 25 28 37,32,5 7 12 20 25 26,28
233,2007-05-19,1019,2022-06-11,5,4 6 13 17 39,4 6 13 17 28 40,39,1 4 13 17 34 39,6
236,2007-06-09,995,2021-12-25,5,1 4 7 13 39,1 4 8 13 37 39,7,1 4 13 29 38 39,7
237,2007-06-16,293,2008-07-12,5,1 17 21 24 33,1 11 17 21 24 44,33,1 9 17 21 29 33,24
237,2007-06-16,726,2016-10-29,5,1 11 21 24 44,1 11 17 21 24 44,33,1 11 21 23 34 44,24
237,2007-06-16,757,2017-06-03,5,1 11 17 33 44,1 11 17 21 24 44,33,6 7 11 17 33 44,1
240,2007-07-07,393,2010-06-12,5,16 21 40 41 43,6 10 16 40 41 43,21,9 16 28 40 41 43,21
244,2007-08-04,1155,2025-01-18,5,13 16 19 37 38,13 16 25 36 37 38,19,10 16 19 27 37 38,13
246,2007-08-18,640,2015-03-07,5,15 18 21 23 26,13 18 21 23 26 39,15,14 15 18 21 26 35,23
251,2007-09-22,789,2018-01-13,5,6 7 19 38 45,6 7 19 25 28 38,45,2 6 7 12 19 45,38
259,2007-11-17,911,2020-05-16,5,4 5 14 35 42,4 5 14 35 42 45,34,4 5 12 14 32 42,35
260,2007-11-24,686,2016-01-23,5,7 12 15 24 43,7 12 15 24 37 40,43,7 12 15 24 25 43,13
261,2007-12-01,878,2019-09-28,5,2 6 11 16 31,6 11 16 18 31 43,2,2 6 11 16 25 31,3
265,2007-12-29,866,2019-07-06,5,9 12 34 37 39,5 9 34 37 38 39,12,9 15 29 34 37 39,12
268,2008-01-19,1065,2023-04-29,5,3 19 24 32 45,3 10 19 24 32 45,12,3 18 19 23 32 45,24
271,2008-02-09,1151,2024-12-21,5,3 8 9 27 29,3 8 9 27 29 40,36,2 3 9 15 27 29,8
272,2008-02-16,1159,2025-02-15,5,7 9 27 28 39,7 9 12 27 39 43,28,3 9 27 28 38 39,7
273,2008-02-23,1121,2024-05-25,5,6 8 24 31 44,1 8 24 31 34 44,6,6 24 31 32 38 44,8
278,2008-03-29,471,2011-12-10,5,13 37 39 41 43,3 11 37 39 41 43,13,6 13 29 37 39 41,43
280,2008-04-12,597,2014-05-10,5,10 23 24 35 37,10 11 23 24 36 37,35,8 10 23 24 35 43,37
280,2008-04-12,984,2021-10-09,5,10 23 35 36 37,10 11 23 24 36 37,35,3 10 23 35 36 37,18
283,2008-05-03,431,2011-03-05,5,6 18 31 38 45,6 8 18 31 38 45,42,18 22 25 31 38 45,6
283,2008-05-03,782,2017-11-25,5,6 18 31 38 45,6 8 18 31 38 45,42,6 18 31 34 38 45,20
284,2008-05-10,427,2011-02-05,5,7 15 24 28 30,2 7 15 24 30 45,28,6 7 15 24 28 30,21
288,2008-06-07,517,2012-10-27,5,1 10 12 28 41,1 12 17 28 35 41,10,1 9 12 28 36 41,10
289,2008-06-14,425,2011-01-22,5,3 10 14 33 38,3 14 33 37 38 42,10,8 10 14 27 33 38,3
290,2008-06-21,642,2015-03-21,5,8 18 32 39 45,8 13 18 32 39 45,7,8 17 18 24 39 45,32
290,2008-06-21,844,2019-02-02,5,7 8 13 18 45,8 13 18 32 39 45,7,7 8 13 15 33 45,18
290,2008-06-21,1160,2025-02-22,5,7 13 18 39 45,8 13 18 32 39 45,7,7 13 18 36 39 45,19
291,2008-06-28,561,2013-08-31,5,7 18 20 42 45,3 7 8 18 20 42,45,5 7 18 37 42 45,20
292,2008-07-05,538,2013-03-23,5,10 18 31 32 34,17 18 31 32 33 34,10,6 10 18 31 32 34,11
293,2008-07-12,1168,2025-04-19,5,9 21 24 29 33,1 9 17 21 29 33,24,9 21 24 30 33 37,29
304,2008-09-27,585,2014-02-15,5,4 10 16 38 41,4 10 16 26 33 41,38,6 7 10 16 38 41,4
307,2008-10-18,896,2020-02-01,5,5 12 23 25 45,5 15 21 23 25 45,12,5 12 25 26 38 45,23
310,2008-11-08,1132,2024-08-10,5,5 19 28 34 41,1 5 19 28 34 41,16,6 7 19 28 34 41,5
311,2008-11-15,617,2014-09-27,5,4 12 24 27 28,4 12 24 27 28 32,10,4 5 11 12 24 27,28
314,2008-12-06,1120,2024-05-18,5,2 19 34 38 41,15 17 19 34 38 41,2,2 19 26 31 38 41,34
315,2008-12-13,444,2011-06-04,5,13 23 35 43 45,1 13 33 35 43 45,23,11 13 23 35 43 45,17
316,2008-12-20,810,2018-06-09,5,10 11 21 39 43,10 11 21 27 31 39,43,5 10 13 21 39 43,11
317,2008-12-27,1174,2025-05-31,5,8 11 22 36 39,3 10 11 22 36 39,8,8 11 14 17 36 39,22
323,2009-02-07,692,2016-03-05,5,3 14 15 32 36,10 14 15 32 36 42,3,3 11 14 15 32 36,44
324,2009-02-14,815,2018-07-14,5,4 17 21 25 36,2 4 21 25 33 36,17,17 21 25 26 27 36,4
326,2009-02-28,1192,2025-10-04,5,16 23 36 39 40,16 23 25 33 36 39,40,10 16 23 36 39 40,11
328,2009-03-14,1081,2023-08-19,5,1 9 16 17 24,1 6 9 16 17 28,24,1 9 16 23 24 38,17
330,2009-03-28,751,2017-04-22,5,3 4 16 17 20,3 4 16 17 19 20,23,3 4 16 20 28 44,17
331,2009-04-04,660,2015-07-25,5,4 9 14 39 44,4 9 14 26 31 44,39,4 9 23 33 39 44,14
333,2009-04-18,1027,2022-08-06,5,5 14 27 35 39,5 14 27 30 39 43,35,14 16 27 35 39 45,5
337,2009-05-16,890,2019-12-21,5,1 4 14 18 37,1 5 14 18 32 37,4,1 4 14 18 29 37,6
340,2009-06-06,534,2013-02-23,5,24 26 29 32 38,18 24 26 29 34 38,32,10 24 26 29 37 38,32
340,2009-06-06,824,2018-09-15,5,24 26 29 34 38,18 24 26 29 34 38,32,7 9 24 29 34 38,26
353,2009-09-05,1040,2022-11-05,5,11 16 26 29 36,11 16 19 22 29 36,26,8 16 26 29 31 36,11
363,2009-11-14,772,2017-09-16,5,6 11 14 21 32,11 12 14 21 32 38,6,5 6 11 14 21 41,32
370,2010-01-02,993,2021-12-11,5,16 18 24 42 44,16 18 24 42 44 45,17,6 14 16 18 24 42,44
372,2010-01-16,1087,2023-09-30,5,13 14 16 18 21,8 11 14 16 18 21,13,13 14 18 21 34 44,16
374,2010-01-30,418,2010-12-04,5,11 13 15 26 34,11 13 15 17 25 34,26,11 13 15 26 28 34,31
383,2010-04-03,785,2017-12-16,5,4 15 25 33 40,4 15 28 33 37 40,25,4 6 15 25 26 33,40
387,2010-05-01,962,2021-05-08,5,1 31 34 40 43,1 26 31 34 40 43,20,1 18 28 31 34 43,40
392,2010-06-05,765,2017-07-29,5,1 3 8 42 43,1 3 7 8 24 42,43,1 3 8 12 42 43,33
394,2010-06-19,1182,2025-07-26,5,1 13 22 25 28,1 13 20 22 25 28,15,1 13 21 25 28 31,22
395,2010-06-26,636,2015-02-07,5,7 15 20 26 31,11 15 20 26 31 35,7,6 7 15 16 20 31,26
395,2010-06-26,1141,2024-10-12,5,7 11 20 26 35,11 15 20 26 31 35,7,7 11 12 21 26 35,20
396,2010-07-03,782,2017-11-25,5,18 20 31 34 45,18 20 31 34 40 45,30,6 18 31 34 38 45,20
396,2010-07-03,946,2021-01-16,5,18 20 30 34 40,18 20 31 34 40 45,30,9 18 19 30 34 40,20
399,2010-07-24,621,2014-10-25,5,1 2 9 19 42,1 2 9 17 19 42,20,1 2 6 16 19 42,9
401,2010-08-07,1050,2023-01-14,5,6 12 31 38 43,6 12 18 31 38 43,9,6 12 31 35 38 43,17
422,2011-01-01,743,2017-02-25,5,15 19 21 34 44,8 15 19 21 34 44,12,15 19 21 34 41 44,10
422,2011-01-01,773,2017-09-23,5,8 12 19 21 44,8 15 19 21 34 44,12,8 12 19 21 31 35,44
431,2011-03-05,782,2017-11-25,5,6 18 31 38 45,18 22 25 31 38 45,6,6 18 31 34 38 45,20
432,2011-03-12,697,2016-04-09,5,2 5 11 33 39,2 3 5 11 27 39,33,2 5 8 11 33 39,31
434,2011-03-26,1194,2025-10-18,5,3 13 24 33 37,3 13 20 24 33 37,35,3 13 15 24 33 37,2
437,2011-04-16,524,2012-12-15,5,11 21 29 38 41,11 16 29 38 41 44,21,10 11 29 38 41 45,21
438,2011-04-23,1020,2022-06-18,5,6 12 29 38 45,6 12 20 26 29 38,45,12 27 29 38 41 45,6
461,2011-10-01,1089,2023-10-14,5,18 31 37 40 43,11 18 26 31 37 40,43,4 18 31 37 42 43,40
463,2011-10-15,1009,2022-04-02,5,23 29 34 40 44,23 29 31 33 34 44,40,15 23 29 34 40 44,20
463,2011-10-15,1015,2022-05-14,5,23 31 33 40 44,23 29 31 33 34 44,40,14 23 31 33 37 40,44
464,2011-10-22,1144,2024-11-02,5,4 6 12 15 34,6 12 15 34 42 44,4,3 4 12 15 26 34,6
466,2011-11-05,935,2020-10-31,5,4 10 20 32 44,4 10 13 23 32 44,20,4 10 20 32 38 44,18
467,2011-11-12,968,2021-06-19,5,2 12 14 24 39,2 12 14 17 24 40,39,2 5 12 14 24 39,33
468,2011-11-19,667,2015-09-12,5,13 15 17 37 43,8 13 15 28 37 43,17,15 17 25 37 42 43,13
472,2011-12-17,654,2015-06-13,5,16 26 31 36 43,16 25 26 31 36 43,44,16 21 26 31 36 43,6
474,2011-12-31,1111,2024-03-16,5,4 13 33 43 45,4 13 18 31 33 45,43,3 13 30 33 43 45,4
480,2012-02-11,563,2013-09-14,5,5 10 16 17 31,3 5 10 17 30 31,16,5 10 16 17 31 32,21
500,2012-06-30,779,2017-11-04,5,4 12 24 34 41,3 4 12 20 24 34,41,6 12 19 24 34 41,4
504,2012-07-28,851,2019-03-23,5,14 22 26 31 44,6 14 22 26 43 44,31,14 18 22 26 31 44,40
514,2012-10-06,1011,2022-04-16,5,1 9 26 35 42,1 15 20 26 35 42,9,1 9 12 26 35 38,42
522,2012-12-01,735,2016-12-31,5,4 5 13 37 41,4 5 13 14 37 41,11,5 10 13 27 37 41,4
539,2013-03-30,1043,2022-11-26,5,3 19 22 26 31,3 19 22 31 42 43,26,3 5 12 22 26 31,19
540,2013-04-06,1010,2022-04-09,5,3 12 15 34 36,3 12 13 15 34 36,14,9 12 15 25 34 36,3
542,2013-04-20,1132,2024-08-10,5,5 6 19 34 41,5 6 19 26 41 45,34,6 7 19 28 34 41,5
555,2013-07-20,729,2016-11-19,5,11 17 21 26 36,11 17 21 24 26 36,12,11 17 21 26 36 45,16
556,2013-07-27,1091,2023-10-28,5,20 23 28 30 44,12 20 23 28 30 44,43,6 20 23 24 28 30,44
561,2013-08-31,579,2014-01-04,5,5 7 20 37 42,5 7 18 37 42 45,20,5 7 20 22 37 42,39
564,2013-09-21,603,2014-06-21,5,2 19 25 26 27,14 19 25 26 27 34,2,2 19 25 26 27 43,28
569,2013-10-26,980,2021-09-11,5,3 13 23 24 35,3 6 13 23 24 35,1,3 13 16 23 24 35,14
572,2013-11-16,698,2016-04-16,5,3 13 18 33 37,3 13 18 33 37 45,1,3 11 13 21 33 37,18
575,2013-12-07,604,2014-06-28,5,2 6 30 33 34,2 8 20 30 33 34,6,2 6 18 21 33 34,30
578,2013-12-28,911,2020-05-16,5,5 12 14 32 42,5 12 14 32 34 42,16,4 5 12 14 32 42,35
588,2014-03-08,1142,2024-10-19,5,2 8 22 30 41,2 8 15 22 25 41,30,2 8 28 30 37 41,22
591,2014-03-29,607,2014-07-19,5,8 13 14 38 39,8 13 14 30 38 39,5,8 14 23 36 38 39,13
593,2014-04-12,835,2018-12-01,5,9 10 13 28 38,9 10 13 24 33 38,28,9 10 13 28 38 45,35
600,2014-05-31,827,2018-10-06,5,5 11 14 29 44,5 11 14 27 29 36,44,5 11 12 29 33 44,14
611,2014-08-16,1037,2022-10-15,5,2 14 22 27 33,2 22 27 33 36 37,14,2 14 15 22 27 33,31
614,2014-09-06,930,2020-09-26,5,8 21 25 39 44,8 21 25 39 40 44,18,8 21 25 38 39 44,28
623,2014-11-08,731,2016-12-03,5,7 13 25 39 45,7 13 30 39 41 45,25,2 7 13 25 42 45,39
623,2014-11-08,1156,2025-01-25,5,7 30 39 41 45,7 13 30 39 41 45,25,30 31 34 39 41 45,7
626,2014-11-29,832,2018-11-10,5,13 14 26 40 43,13 14 26 33 40 43,15,13 14 19 26 40 43,30
629,2014-12-20,721,2016-09-24,5,1 28 31 43 44,19 28 31 38 43 44,1,1 28 35 41 43 44,31
631,2015-01-03,1205,2026-01-03,5,1 2 4 23 31,1 2 4 23 31 34,8,1 4 16 23 31 41,2
633,2015-01-17,891,2019-12-28,5,9 13 19 39 41,9 12 19 20 39 41,13,9 13 28 31 39 41,19
637,2015-02-14,908,2020-04-25,5,3 16 22 23 44,3 16 22 37 38 44,23,3 16 21 22 23 44,30
638,2015-02-21,764,2017-07-22,5,7 22 24 31 34,7 18 22 24 31 34,6,7 22 24 31 34 36,15
643,2015-03-28,733,2016-12-17,5,13 24 32 33 40,15 24 31 32 33 40,13,11 24 32 33 35 40,13
645,2015-04-11,1205,2026-01-03,5,1 4 16 31 41,1 4 16 26 40 41,31,1 4 16 23 31 41,2
653,2015-06-06,1052,2023-01-28,5,1 5 26 27 38,5 6 26 27 38 39,1,5 17 26 27 35 38,1
655,2015-06-20,1004,2022-02-26,5,7 18 37 39 44,7 37 38 39 40 44,18,7 15 30 37 39 44,18
661,2015-08-01,905,2020-04-04,5,3 20 27 38 40,2 3 12 20 27 38,40,3 4 16 27 38 40,20
665,2015-08-29,1178,2025-06-28,5,5 6 11 17 44,5 6 11 17 38 44,13,5 6 11 27 43 44,17
675,2015-11-07,844,2019-02-02,5,7 8 15 18 45,1 8 11 15 18 45,7,7 8 13 15 33 45,18
683,2016-01-02,1074,2023-07-01,5,6 15 20 27 28,6 13 20 27 28 40,15,1 6 20 27 28 41,15
684,2016-01-09,809,2018-06-02,5,11 15 17 39 40,1 11 15 17 25 39,40,6 11 15 17 23 40,39
686,2016-01-23,694,2016-03-19,5,7 12 15 25 43,7 12 15 24 25 43,13,7 15 20 25 33 43,12
706,2016-06-11,728,2016-11-12,5,3 6 10 30 37,3 4 6 10 28 30,37,3 6 10 30 34 37,36
706,2016-06-11,928,2020-09-12,5,3 4 10 28 30,3 4 6 10 28 30,37,3 4 10 20 28 44,30
711,2016-07-16,1061,2023-04-01,5,15 24 35 37 45,11 15 24 35 37 45,42,4 24 27 35 37 45,15
720,2016-09-17,966,2021-06-05,5,1 29 34 36 37,1 12 29 34 36 37,41,1 21 25 29 34 37,36
734,2016-12-24,830,2018-10-27,5,6 16 18 37 38,6 16 37 38 41 45,18,5 6 16 18 37 38,17
736,2017-01-07,971,2021-07-10,5,2 6 17 18 21,2 11 17 18 21 27,6,2 6 17 18 21 26,7
740,2017-02-04,938,2020-11-21,5,4 8 9 16 31,4 8 9 16 17 19,31,4 8 10 16 31 36,9
743,2017-02-25,744,2017-03-04,5,10 15 21 34 41,15 19 21 34 41 44,10,10 15 18 21 34 41,43
751,2017-04-22,928,2020-09-12,5,3 4 20 28 44,3 4 16 20 28 44,17,3 4 10 20 28 44,30
770,2017-09-02,1096,2023-12-02,5,1 12 23 34 43,1 9 12 23 39 43,34,1 12 16 19 23 43,34
792,2018-02-03,1046,2022-12-17,5,7 16 25 29 36,2 7 19 25 29 36,16,7 16 25 29 35 36,28
797,2018-03-10,1036,2022-10-08,5,5 22 32 39 45,5 22 31 32 39 45,36,2 5 22 32 34 45,39
801,2018-04-07,868,2019-07-20,5,17 25 28 43 44,17 25 28 37 43 44,2,12 17 28 41 43 44,25
808,2018-05-26,1098,2023-12-16,5,15 21 24 41 43,15 21 31 32 41 43,24,12 16 21 24 41 43,15
811,2018-06-16,1007,2022-03-19,5,8 11 19 21 25,8 11 19 21 36 45,25,8 11 16 19 21 25,40
816,2018-07-21,828,2018-10-13,5,7 18 29 31 39,12 18 19 29 31 39,7,4 7 13 29 31 39,18
817,2018-07-28,1010,2022-04-09,5,3 9 12 25 34,3 9 12 13 25 43,34,9 12 15 25 34 36,3
819,2018-08-11,1002,2022-02-12,5,15 25 33 38 45,16 25 33 38 40 45,15,17 25 33 35 38 45,15
820,2018-08-18,1122,2024-06-01,5,6 21 22 30 35,10 21 22 30 35 42,6,3 6 21 30 34 35,22
828,2018-10-13,995,2021-12-25,5,4 7 13 29 39,4 7 13 29 31 39,18,1 4 13 29 38 39,7
829,2018-10-20,1003,2022-02-19,5,4 29 31 43 45,4 5 31 35 43 45,29,1 4 29 39 43 45,31
846,2019-02-16,948,2021-01-30,5,5 13 18 30 41,5 18 30 41 43 45,13,13 18 30 31 38 41,5
870,2019-08-03,1058,2023-03-11,5,25 30 32 40 42,21 25 30 32 40 42,31,11 23 25 30 32 40,42
894,2020-01-18,981,2021-09-18,5,32 37 41 43 45,19 32 37 40 41 43,45,27 36 37 41 43 45,32
905,2020-04-04,1099,2023-12-23,5,3 4 20 38 40,3 4 16 27 38 40,20,3 20 28 38 40 43,4
916,2020-06-20,1031,2022-09-03,5,6 22 32 35 36,6 21 22 32 35 36,17,6 7 22 32 35 36,19
935,2020-10-31,1024,2022-07-16,5,10 18 20 38 44,4 10 20 32 38 44,18,9 18 20 22 38 44,10
939,2020-11-28,1022,2022-07-02,5,6 11 28 42 45,4 11 28 39 42 45,6,5 6 11 29 42 45,28
957,2021-04-03,959,2021-04-17,5,1 15 24 35 40,4 15 24 35 36 40,1,1 14 15 24 40 41,35
1012,2022-04-23,1173,2025-05-24,5,3 5 18 20 35,5 11 18 20 35 45,3,1 5 18 20 30 35,3
1020,2022-06-18,1165,2025-03-29,5,6 27 29 38 45,12 27 29 38 41 45,6,6 7 27 29 38 45,17
1071,2023-06-10,1104,2024-01-27,5,1 2 21 30 35,1 2 11 21 30 35,39,1 7 21 30 35 38,2
1076,2023-07-15,1117,2024-04-27,5,3 7 9 33 36,3 7 9 33 36 37,10,3 4 9 30 33 36,7
